2025-07-26 16:11:37 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': 'flac', 'filename': 'music\\Changeline\\teardrops.on.a.book.page (2024)\\07. everything.everywhere.and.fuck.u.flac', 'length': 153, 'sampleRate': 44100, 'size': 18349654, 'isLocked': False}
2025-07-26 16:11:37 | download_manager | ERROR | Erreur lors de l'accès au dossier de thisdogissomessedup: 'filename'
2025-07-26 16:11:37 | download_manager | INFO | Fichier: {'code': 1, 'extension': 'jpg', 'filename': 'music\\Changeline\\teardrops.on.a.book.page (2024)\\cover.jpg', 'size': 55089, 'isLocked': False}
2025-07-26 16:11:37 | download_manager | INFO | Analyse des résultats de organic_rust
2025-07-26 16:11:37 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': 'flac', 'filename': 'Library\\Changeline\\teardrops.on.a.book.page (EP, 2024)\\01 - wasirapedthatnight.flac', 'length': 148, 'sampleRate': 44100, 'size': 14621818, 'isLocked': False}
2025-07-26 16:11:38 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: 'filename'
2025-07-26 16:11:38 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': 'flac', 'filename': 'Library\\Changeline\\teardrops.on.a.book.page (EP, 2024)\\02 - brain.fog.flac', 'length': 156, 'sampleRate': 44100, 'size': 16855258, 'isLocked': False}
2025-07-26 16:11:38 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: 'filename'
2025-07-26 16:11:38 | download_manager | INFO | Fichier: {'bitDepth': 16, 'code': 1, 'extension': 'flac', 'filename': "Library\\Changeline\\teardrops.on.a.book.page (EP, 2024)\\03 - don't.get.hit.flac", 'length': 165, 'sampleRate': 44100, 'size': 21295450, 'isLocked': False}
2025-07-26 16:11:39 | download_manager | ERROR | Erreur lors de l'accès au dossier de organic_rust: 'filename'
